Languages,language_code
Nyabwa,nwb
Wobe-Wè Northern,wob
Konobo-Eastern Krahn,kqo
Lakota Dida,dic
Gabogbo,gie
Ghanaian Sign Language,gse
Nigerian Sign Language,nsi
Chadian Sign Language,cds
Madagascar Sign Language,mzc
Ebang,hbn
Laru (North Sudan),lro
Thuri,thu
Luwo,lwo
Kumam,kdi
Lango (Uganda),laj
Labwor,lth
Alur,alz
Barabayiiga-Gisamjanga,tcc
Tugen,tuy
Lango-Logire-Logir,lno
Ngasa,nsg
Karamojong,kdj
Nyangatom,nnj
Toposa,toq
Turkana,tuv
Bom-Kim,bmf
Bullom So,buy
Northwest Gbaya,gya
Eastern Karaboro,xrb
Western Karaboro,kza
Senar de Kankalaba,seq
Mamara Senoufo,myk
Nanerigé Sénoufo,sen
Nafanan,nfr
Nyarafolo Senoufo,sev
Palaka Senoufo,plr
Kim,kia
Goundo,goy
Besme,bes
Palen,pnl
Natioro,nti
Samue,wbf
Tiefo-Daramandugu,tiq
Northern Toussian,tsp
Southern Toussian,wib
Mboi,moi
Kaan,ldl
Oblo,obl
Mbum,mdd
Abé,aba
Abidji,abi
Adioukrou,adj
Avikam,avi
Alladian,ald
Avatime,avn
Animere,anf
Akebu,keu
Igo,ahl
Ikposo,kpo
Tuwuli,bov
Anii,blo
Adele,ade
Gen,gej
Cara,cfd
Kapya,klo
Yukuben,ybl
Iku-Gora-Ankwa,ikv
Bo-Rukul,mae
Eten,etx
Berom,bom
Àhàn,ahn
Ayere,aye
Igala,igl
Ikwere,ikw
Ogbah,ogc
Reshe,res
Obolo,ann
Ogbronuagum,ogu
Ukpet-Ehom,akd
Igede,ige
Yace,ekr
Akpa,akf
Tikar,tik
Fam,fam
Busuu,bju
Bishuo,bwh
Buru-Angwe,bqw
Bedik,tnr
Noon,snf
Lehar,cae
Central-Eastern Niger Fulfulde,fuq
Hausa States Fulfulde,fuv
Balanta-Kentohe,ble
Balanta-Ganja,bjt
Kasanga,ccj
Kobiana,kcj
Bainouk-Gunyaamolo-Gutobor,bcz
Bainounk-Gujaher,bab
Peve,lme
Masana,mcn
Musey,mse
Marba,mpg
Zumaya,zuy
Kwang,kvi
Kera,ker
Gadang,gdk
Mawa (Chad),mcw
Ubi,ubi
Barain,bva
Duwai,dbp
Diri,dwa
Hausa,hau
Gwandara,gwn
Gudu,gdu
Ngwaba,ngw
Mafa,maf
Mbedam,xmd
Mina (Cameroon),hna
Hya,hya
Psikye,kvj
Vemgo-Mabas,vem
Lamang,hia
Hdi,xed
Muskum,mje
Baldemu,bdn
Buduma,bdm
Standard Moroccan Tamazight,zgh
Ghomara,gho
Senhaja De Srair,sjs
Sened,sds
Tidikelt-Tuat Tamazight,tia
Sud Oranais-Gourara,grr
Tumzabt,mzb
Bilin,byn
Xamtanga,xan
Afar,aar
Saho,ssy
Burunge,bds
Tigre,tig
Dahalik,dlk
Soqotri,sqt
Susu,sus
Yalunka,yal
Liberia Kpelle,xpe
Guinea Kpelle,gkp
Kono (Guinea),knu
Hainyaxo Bozo,bzx
Sininkere,skq
Soninke,snk
Jowulu,jow
Southern Bobo Madaré,bwq
Northern Bobo Madaré,bbo
Gban,ggu
Mwan,moa
Wan,wan
Gbin,xgb
Matya Samo,stj
Maya Samo,sym
Southern Samo,sbd
Bilma-Mowar Kanuri,bms
Tumari Kanuri,krt
Central Kanuri,knc
Ibani,iby
Kalabari,ijn
Kirike,okr
Biseni,ije
Okodia,okd
Northern Tshwa,hio
Southern Tshwa,tyu
Naro,nhr
Kxoe,xuu
//Ani,hnh
Dawro,dwr
Gofa,gof
Gamo,gmv
Kenga,kyq
Bagirmi,bmi
Pye Krumen,pye
Southern Grebo,grj
Glio-Oubi,oub
Daho-Doo,das
Glaro-Twabo,glr
Sapo,krn
Western Krahn,krw
Dewoin,dee
Gbii,ggb
Bassa,bsq
Klao,klu
Tajuasohn,tja
Burundi Sign Language,lsb
Luo (Kenya and Tanzania),luo
Adhola,adh
Terik,tec
Nandi,niq
Keiyo,eyo
Lango (South Sudan),lgo
Imotong,imt
Logir,lqr
Lopit,lpx
Otuho,lot
Lokoya,lky
Masai,mas
Samburu,saq
Krim,krm
Bofi,bff
Gbaya-Mbodomo,gmm
Gbanu,gbv
Southwest Gbaya,gso
Ngombe-Bangandu,bgf
Bokoto,bdt
Supyire Senoufo,spp
Sìcìté Sénoufo,sep
Djimini Senoufo,dyi
Tagwana Senoufo,tgw
Tunia,tug
Bondoukou Kulango,kzc
Bouna Kulango,nku
Téén,lor
Loma (Côte d'Ivoire),loi
Baatonum,bba
Longuda,lnu
Koromfé,kfz
Lala-Roba,lla
Duli-Gewe,duz
Gengle-Kugama,kow
Kumba,ksm
Ma (Democratic Republic of Congo),msj
To,toz
